record_key,os,chipset,cpu,gpu
0a041421d6ee9d2fbd60825d249081870f88b53a367f839d08d260a44f9b27be,"Android 15, up to 4 major Android upgrades",Qualcomm SM7750-AB Snapdragon 7 Gen 4 (4 nm),Octa-core (1 x 2.8 GHz Cortex-720 + 4 x 2.4 GHz Cortex-720 + 3 x 1.8 GHz Cortex-520),Adreno 722
3c5e649f38209669f9f05961d14d691e9cd12ed7a3efb4471a535ad934aa176a,Android 15 OS,Mediatek Dimensity 7360 Turbo (4 nm),Octa-core (4 x 2.5 GHz Cortex-A78 + 4 x 2.0 GHz Cortex-A55),Mali-G615 MC2
ce0156b771d9d55b9cbe267c12e5b0489c32de76904dba084846a197f5ba1ef5,Android 15 OS,Qualcomm SM6225 Snapdragon 685 (6 nm),Octa-core (4 x 2.8 GHz Cortex-A73 + 4 x 1.9 GHz Cortex-A53),Adreno 610
86fe7de219e1b322c02bdb102386588999aa727ebc55577b41684638952e1de4,Android 16 OS,Qualcomm SM7750-AB Snapdragon 7 Gen 4 (4 nm),Octa-core (1 x 2.8 GHz Cortex-720 + 4 x 2.4 GHz Cortex-720 + 3 x 1.8 GHz Cortex-520),Adreno 722
2646f923a87ea048ce8acb7db6fcde33728e6924c74828e83d5aef36d5121db2,Android 16 OS,Mediatek Dimensity 7360 Turbo (4 nm),Octa-core (4 x 2.5 GHz Cortex-A78 + 4 x 2.0 GHz Cortex-A55),Mali-G615 MC2
89dfc41d18a3673bf83267db56ca3c6dc7964f55a406409748fa2bcd6273d34d,Android 16 OS,Mediatek Dimensity 7360 Turbo (4 nm),Octa-core (4 x 2.5 GHz Cortex-A78 + 4 x 2.0 GHz Cortex-A55),Mali-G615 MC2
19c7fea0ae4908cbb32f898d97bb5e4ac64d9d0f37d309a7b43478c222323c01,Android 14 OS,Unisoc T7225 (12 nm),Octa-core (2 x 2.0 GHz Cortex-A75 + 6 x 1.8 GHz Cortex-A55),Mali-G52 MP1
be2a61a1220df55fa4aef28f447b549aacdfdb773fc90cf50a6de8f0f7f3c82a,Android 16 OS,Unisoc T7225 (12 nm),Octa-Core (2 × 1.8 GHz + 6 × 1.8 GHz),ARM Mali-G57
e5ab53a1860808ef848773d716382b91437a66ffaa68822f8cbf2913524be2ba,Android 16 OS,Unisoc T7225 (12 nm),Octa Core (2 x 1.8 GHz + 6 x 1.8 GHz),ARM Mali-G57 MP1
041ed8a6d8297b010d9f9ba878459ef517d1af01cadee0ce6c4dbd071363a5f5,Android 15 OS,Unisoc T7225 (12 nm),Octa-Core (2 × 1.8 GHz + 6 × 1.8 GHz),Arm Mali G57
34b7115693cdca58139716cc49cd7ab78f12eac81220266cdbc9c170e38b93f9,Android 15 OS,Unisoc T7225 (12 nm),Octa-Core (2 × 1.8 GHz + 6 × 1.8 GHz),Arm Mali G57
e81f31d687b95aa322df381e62f9c8da571f9db2d9f0da0a6f5645bba6a3029d,Android 15 OS,Qualcomm SM6225 Snapdragon 685 (6 nm),Octa-core (4 x 2.8 GHz Cortex-A73 + 4 x 1.9 GHz Cortex-A53),Adreno 610
7ae64d15324996ac9511ef989a0021d7f49d847bbb53691b0024115d049b325f,Android 16 OS,Qualcomm Snapdragon 6s 4G Gen 2,Octa-core (4 x 2.9 GHz Cortex-A73 + 4 x 1.9 GHz Cortex-A53),Adreno 610
ebab87bcd40ba3ef17b7ae4fe6ed4a4b940ebff0f94ebcc2ac1fd5028ff7f996,Android 16 OS,Qualcomm Snapdragon 6s 4G Gen 2,Octa-core (4 x 2.9 GHz Cortex-A73 + 4 x 1.9 GHz Cortex-A53),Adreno 610
6121038dba32bec7f4529487de05cf2a18a64322f110f7247b4caa5cb4ea6a67,Android 16 OS,Unisoc T7300,Octa-Core (2 × 2.2 GHz + 6 × 2.0 GHz),Arm Mali-G57 MC2
c2d6664e6f2b5240cf834d7330df2a850b3f57cd2a068b236da130943b70d8a3,Android 15 OS,Qualcomm SM6375 Snapdragon 6s Gen 3 (6 nm),Octa-core (4 x 2.8 GHz Cortex-A73 + 4 x 1.9 GHz Cortex-A53),Adreno 610
addcab631ed3e59831cf9f5715dc21a770548ac97d508e6a477910b10c2b556d,Android 15 OS,Mediatek Helio G81 Ultra (12 nm),Octa-core (2 x 2.0 GHz Cortex-A75 + 6 x 1.8 GHz Cortex-A55),Mali-G52 MC2
db9309791f972f99eec3bf255babe2d0978915a7559bcc263d306958bf329b67,Android 16 OS,Unisoc T7250 (12 nm),Octa-core (2 x 1.8 GHz Cortex-A75 + 6 x 1.6 GHz Cortex-A55),Mali-G57 MP1
43210a8a173a423028ca615be0d78905a3713cd647a366bce6f857c400a8c38b,Android 16 OS,Unisoc T7250 (12 nm),Octa-core (2 x 1.8 GHz Cortex-A75 + 6 x 1.6 GHz Cortex-A55),Mali-G57 MP1
72ff8f62231e56134c58aa8a9fa2070af6659357a717184b08e722b7a0ec7699,Android 15 OS,Mediatek Helio G100 Ultra (6 nm),Octa-core (2 x 2.2 GHz Cortex-A76 + 6 x 2.0 GHz Cortex-A55),Mali-G57 MC2
8b4cf6d8373e4098085482971dcea6e858fa3491146f0d450b4074e2dbcb568e,Android 15 OS,MediaTek Helio G200-Ultra,2.6 Ghz Octa Core,Mali-G615 MC2
677d31b21144f8ac9d714981c29c7e14ebe59cf5a8c4ca5c5812b4c563efbdc4,"Android 15 OS, up to 4 major Android upgrades",Qualcomm SM7635-AC Snapdragon 7s Gen 4 (4 nm),Octa-core (1 x 2.7 GHz Cortex-A720 + 3 x 2.4 GHz Cortex-A720 + 4 x 1.8 GHz Cortex-A520),Adreno 810
a3144d1f4e3f4c6767ce0c0867ce1f0eeda51fbb0a05043cbf7895ddfb889277,Android 15 OS,MediaTek Helio G200-Ultra,2.6 Ghz Octa Core,Mali-G615 MC2
1c355bef3eab13d781ce17f2d953ac6cec07d1c1fd035cc35dd6c0a45414c99c,Android 15 OS,Mediatek Helio G100 Ultra (6 nm),Octa-core (2 x 2.2 GHz Cortex-A76 + 6 x 2.0 GHz Cortex-A55),Mali-G57 MC2
4bc001ed25342c096f23e270f2a958c79e91d68d53497f00a55840d4caafad65,Android 15 OS,Unisoc T7200 (12 nm),Octa-core (2 x 1.6 GHz Cortex-A75 + 6 x 1.6 GHz Cortex-A55),Mali-G57 MP1
dab2bac67f680a308cd3165d64883a73aaa0fc812cbbaadeb19d58304fc668b4,Android 15 OS,Unisoc T7200 (12 nm),Octa-core (2 x 1.6 GHz Cortex-A75 + 6 x 1.6 GHz Cortex-A55),Mali-G57 MP1
ec096c9896603113394f987db5de991e4c3d82289139044270a53841c8602205,Android 13 OS,Unisoc T606,Octa-core (2 x 1.6 GHz Cortex-A75 + 6 x 1.6 GHz Cortex-A55),Mali-G57 MP1
98d358e48d36d529afe24a05c368e3ddfeffeedef323408cf02a32c38316b908,Android 16 OS,Unisoc T7250 (12 nm),Octa-core (2 x 1.8 GHz Cortex-A75 + 6 x 1.6 GHz Cortex-A55),Mali-G57 MP1
9d4bd0a89b746776efebb207d930f53aaf5bcb489d178e4075336527644a5be7,Android 16 OS,Unisoc T7280 (12 nm),Octa-Core (2 x 2.2GHz Cortex-A75 + 6 x 2.0GHz Cortex-A55,Mali-G57 MP1
