record_key,type,size,resolution,protection
d6fdae9ad7e8462921dc2fc056aebbc3c16c1e959b0306b44127565dc8111d65,,6.9 Inch,2340 × 1080,
ee430913ba14b9dbe722ab6c28db311d53f9960daf0527de7e6cc574df9cc5e7,,"6.9""",2340 × 1080,
e6bd477345318f499c5bc9508375e185866429b52a187e1f25c3da89a1d6b012,,,,
5203fc78698345102dc9f7f1a795c4179f5e158dfe9fba35bb78dde9d2aa1b11,,,,
9c6af201a5815e8e7476b1eb3f2f8e260f92a0891891ff8210a30024523e734e,,"6.9""",2340 × 1080,
e7fca76d65a577ae18a0a5169e30c25afea69824b4c070849152ed1e1231f657,AMOLED,,2392 × 1080,
50122e489b2a391ea75421c0b21bcf40da0dc3f7938453d60576c3b00c4a8e61,,6.9 Inch,2340 × 1080,
5de090288440b21146ad3c206e607e18dc11b1528da1315a72813143bfd7c8f8,,6.9 Inch,2340 × 1080,
8462d5ef255974471a27e93f862493769638066ad29660ab1fdda77992f2bb64,AMOLED,,2392 × 1080,
5412a7dd555027bd19a920d091e649f5d66015bea10815f80f68d55b37600a36,,,2392 x 1080,
3bcc3566ba25704f623120e18b18baf1c222a3aa5d8ef64868b6b31d651d16d0,AMOLED,,2392 × 1080,
c0e5ff4851d63bdeae0c666a5fc205c9c17c55d83307694c01434b30b9152f56,,,2392 x 1080,
e6b7e10f832f63fbcf2443d8f515babf20317739a651a16a0a88273b138d235f,AMOLED,,2392 × 1080,
66b4d79c7d6d8c1cd01fdbbbaf44793fa3c7357eadb8f035fca59b329656b7f7,,"6.9""",2340 × 1080,
b16ee733d65ffe0f307b6e2fc2ac3967b67832ad5e4cc09f622efded32ccbeb5,AMOLED,6.77 Inch,1080 x 2392 Pixels (~388 PPI),
be3131da990cb121a19a60afb1daea0122e1d7e50b045eac9f2f3a6a5ee844a9,AMOLED,6.77 Inch,2392 × 1080,
0b1194933ac80594b6dd76d012d296384805e069e50889d10be2abd78e256dd1,,6.9 Inch,2340 × 1080,
4eb82852a9ee8c6f941665b546f116d3954608740eacf26c74962f31e5a26d2a,AMOLED,6.77 Inch,2392 x 1080,
4e9745194ff512a1a51cf514ae73074b7af278bfb8b744a7ed778db60d3da6d2,,,,
6fc1832b86864b76507626e6aeb41cf3bd7535dc4c1220715767c4facc519fde,,"6.9""",1920x1080,
4bf9a7822bed07745943e7af99571ec08c670e832ad092f0af0c732551475550,IPS LCD,6.9 inch,720 x 1600,
e0bdb7da823d1581922ce91488998f0284241680d76459b827bdf0d492fd99ec,IPS LCD,6.9 inch,720 x 1600,
f00e28026d0324d7ff7c1f16cf205bae2e24e6a59e0d5b7a65dbcbcb29edda8e,,6.9 Inch,,
0b5a3edf45d549a3826de1a64cbd946f633308ee31c0bc2d8afce93119f147b6,,"6.9""",1920x1080,
4c6f819f63b67d368751e4fc0d3a7bc2020a13d4aa63d52790f575918b7817b5,IPS LCD,6.9 inch,720 x 1600,
335320bbb590f74eadc5e6166f749bde6fc5d4d3f219591ba577c18285fc1578,IPS LCD,6.9 inch,720 x 1600,
ebff9854da3fe1c2ba4782ca10d2e6940346f611de94d48547c2f857b679a745,IPS LCD,"6.9""",720 x 1640,
0dbb0579b19e0688954b639ee64d6434818e251921959363dc78776c30ce1b60,,6.9 Inch,,
63d89b012ac7a41eec9a721e5562416e07425425380defafc79c2b68303bcb80,AMOLED,"6.57""",1080 x 2372,
672955cd3f8529917e20b5590fc562d59bcd40debd670cddc155a4a9efda1c52,AMOLED,6.57inch,1080 x 2372 Pixels (~397 PPI),
86650bbcf3676729b079f05c71c4245ed08daa6d4ba1170e6b89eea74d440a65,AMOLED,6.57inch,,
